,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
State,Johor,Kedah,Kelantan,Kuala Lumpur,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,Johor,Kedah,Kelantan,Kuala Lumpur,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,Johor,Kedah,Kelantan,Kuala Lumpur,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,Johor,Kedah,Kelantan,Kuala Lumpur,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,Johor,Kedah,Kelantan,Kuala Lumpur,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,Johor,Kedah,Kelantan,Kuala Lumpur,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu
Year,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
Murder,58,24,21,61,9,22,14,43,1,33,63,36,175,8,86,28,16,33,14,21,21,41,3,31,68,35,127,6,80,29,17,46,14,27,20,41,1,47,61,46,166,7,89,20,21,58,19,24,22,52,0,36,63,51,167,5,70,24,15,43,11,25,24,32,2,53,52,41,109,9,74,29,12,35,8,22,18,50,1,32,36,37,137,8
Rape,619,352,311,161,105,196,223,293,39,149,243,197,653,152,582,327,276,145,81,172,222,226,51,146,240,151,516,135,504,291,237,138,97,170,216,188,42,123,224,163,421,150,443,230,228,143,110,166,191,156,41,118,225,147,395,125,306,245,206,139,65,135,150,127,36,93,220,138,317,112,265,204,180,123,82,117,94,92,31,77,215,148,309,110
Armed Group Robbery,142,103,38,100,7,157,96,13,6,67,1,6,1048,25,9,16,9,15,3,9,8,8,2,12,2,13,211,1,6,11,8,17,1,5,9,15,0,7,6,10,15,0,6,7,7,14,2,12,6,4,2,6,4,10,17,1,8,9,4,22,3,2,11,2,0,4,4,10,10,0,4,3,1,16,2,2,2,8,0,5,3,10,5,1
Group Robbery,2713,486,74,3931,266,837,163,1108,13,753,378,458,4566,63,2448,595,179,4238,246,884,166,1047,10,660,294,289,4942,86,2031,613,155,4287,356,1010,275,1023,19,586,243,232,5812,96,1699,592,130,4589,365,711,269,841,22,729,246,268,6090,96,1491,515,173,3217,389,722,260,779,19,544,212,206,5063,81,1075,491,111,2115,208,700,256,601,18,573,167,194,4149,60
Armed Robbery,23,20,13,21,1,21,18,2,5,21,0,1,152,11,1,9,3,9,1,5,3,1,0,1,0,0,19,0,0,1,3,3,0,1,1,0,0,2,4,0,2,0,0,2,0,8,0,4,0,0,1,0,1,0,5,0,1,1,2,9,0,0,1,1,0,1,1,1,5,0,1,1,0,6,0,1,0,0,0,2,0,2,1,0
Robbery,648,237,59,933,71,184,43,228,10,259,127,90,837,108,440,162,64,1211,106,252,69,229,10,204,112,78,838,96,383,126,57,1049,109,153,67,170,13,174,107,97,701,69,326,128,59,1224,135,145,72,152,4,170,114,97,871,68,357,173,92,831,115,173,53,179,12,191,101,83,812,78,344,181,63,652,94,174,57,165,7,199,89,100,765,64
Injure,1026,492,386,969,263,276,304,548,72,593,402,596,2057,127,862,498,323,741,171,252,271,533,66,358,324,531,1488,119,838,469,340,749,170,334,254,481,83,344,358,538,1179,107,676,383,294,744,141,430,222,402,85,337,273,452,1108,152,700,369,323,690,222,380,232,382,64,328,232,413,1086,179,650,402,277,725,192,263,250,372,85,324,263,362,1217,134
Theft,4356,2225,909,6186,1256,1164,1314,1986,282,2778,2705,2939,7459,847,3811,2097,736,4497,1219,1240,1303,1784,310,1907,2324,2517,5941,816,2910,1657,595,3910,888,1460,992,1185,251,1274,1695,2394,4437,651,2322,1298,447,3391,696,1368,822,989,202,1089,1466,1730,5147,438,2216,1015,531,3133,570,1228,974,1021,163,1131,1236,1282,4675,489,1934,1105,493,2995,418,1008,727,966,92,969,1588,1178,4157,448
