,5,6,7,8,9,10
Johor,22035,24350,25442,26308,28089,29539
Kedah,14034,15563,16088,16616,17329,18249
Kelantan,9806,10894,11217,11284,11748,12075
WP Kuala Lumpur,64693,70675,77073,82208,90464,94722
Melaka,29366,32421,34965,35699,38656,39853
Negeri Sembilan,29363,32136,33761,34118,35865,36699
Pahang,23883,27069,27413,27856,29341,30343
Perak,18207,20370,21711,22445,24132,25418
Perlis,17410,18299,19537,20196,20999,21394
Pulau Pinang,33597,35527,37053,38490,42130,44847
Sarawak,35034,40632,41493,41766,44596,44012
Sabah,17831,19648,19487,18680,19723,19734
Selangor,32300,34478,36799,38071,40536,42611
Terengganu,21573,23282,23935,24449,26397,26529
